lugares|spec
Seleccione|O
Gobierno Santos|O
Andeg|O
Khashoggi|O
Gas Natural Fenosa|I-ORG
Costa|I-LOC
Necesitamos|O
Crea|O
Editorial|O
Prohibida|O
Colombia|I-LOC
Seleccione|O
Bojayá|I-LOC
Chocó|I-LOC
José de la Cruz Valencia|I-LOC
Por|O
Bojayá|I-LOC
Según|O
Valencia|I-LOC
Empresas Públicas de Pereira|I-ORG
canal Nuevo Libaré|I-LOC
Nuevo Libaré|I-LOC
Otún|I-LOC
Escuche|O
Ministerio de Minas|I-ORG
Buenaventura|I-LOC
Colombia|I-LOC
Prohibida|O
Revisa|O
Colombia|I-LOC
Acolgén|I-ORG
Advierte|O
Colombia|I-LOC
Acolgén|I-ORG
Acolgén|I-ORG
dar Colombia|O
Gobierno Nacional|I-ORG
Triana|O
Hidrocarburos|O
Energía de la Andi|O
Concha|I-LOC
Colombia|I-LOC
Costa Rica|I-LOC
Ningún|O
Acolgén|I-ORG
La|O
Usaid|I-ORG
Acolgén|I-ORG
Kennedy|I-LOC
Bogotá|I-LOC
Bogotá|I-LOC
Contenido cierto.|O
Editorial|O
Prohibida|O
Colombia|I-LOC
Bogotá|I-LOC
Crea|O
Editorial|O
Prohibida|O
Colombia|I-LOC
Contenido cierto|O
Crea|O
Editorial|O
Prohibida|O
Colombia|I-LOC
